Họ Tên,MSSV,Khoa,Ngành,Lớp,Môn học,thoi_gian_tu_hoc,chuyen_can,diem_qua_trinh,hoan_thanh_bai_tap,loai_mon_hoc,tai_lieu_on_tap,hinh_thuc_thi,tre_hoc_phi,ho_tro,tre_hoc,hoc_nhom,lam_them,co_kinh_nghiem
Nguyễn Minh Long,226A010001,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,73,16,4.0,100,Chuyên ngành,Không,Tự luận,Có,Có,50,Không,Không,Có
Bùi Hữu Long,226A010002,Kỹ thuật điện,Điện dân dụng,226A005,Triết học Mác - Lênin - Nhóm 1,31,41,6.8,90,Đại cương,Không,Tự luận,Có,Không,75,Có,Có,Có
Võ Hữu Vinh,226A010003,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,43,100,9.5,25,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Có
Đặng Gia Bình,226A010004,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,19,16,4.3,50,Chuyên ngành,Không,Tự luận,Không,Không,83,Không,Có,Có
Huỳnh Ngọc Quân,226A010005,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,77,100,8.3,100,Chuyên ngành,Có,Tự luận,Có,Có,16,Không,Không,Không
Nguyễn Hữu Khang,226A010006,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,82,11,5.0,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,22,Có,Có,Không
Đặng Anh Dũng,226A010007,Ngoại ngữ,Ngôn ngữ Anh,226A003,Toán cao cấp - Nhóm 1,29,33,8.0,45,Đại cương,Không,Trắc nghiệm,Không,Không,50,Không,Có,Có
Đỗ Hữu Quân,226A010008,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 1,77,100,9.3,100,Đại cương,Không,Trắc nghiệm,Không,Không,8,Có,Có,Có
Võ Đức Phúc,226A010009,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,82,100,8.3,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Trần Minh Cường,226A010010,Cơ khí,Chế tạo máy,226A005,Vật lý đại cương - Nhóm 1,62,50,9.0,100,Đại cương,Có,Trắc nghiệm,Có,Không,33,Có,Có,Không
Phạm Đức Khang,226A010011,Cơ khí,Chế tạo máy,226A005,Vật lý đại cương - Nhóm 1,81,100,4.5,100,Đại cương,Có,Tự luận,Có,Có,33,Có,Có,Không
Huỳnh Đức An,226A010012,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,89,100,10.0,100,Chuyên ngành,Không,Tự luận,Không,Không,0,Không,Có,Có
Huỳnh Văn Phúc,226A010013,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,87,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Có,Không
Đặng Minh An,226A010014,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,88,100,6.8,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Phạm Anh Long,226A010015,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,32,66,5.3,85,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Có,Có
Đỗ Gia Bình,226A010016,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,87,100,9.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Hoàng Đức Sơn,226A010017,Ngoại ngữ,Ngôn ngữ Anh,226A003,Kỹ năng giao tiếp - Nhóm 1,88,100,8.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Có
Huỳnh Anh Hải,226A010018,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,69,100,8.5,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,0,Có,Có,Không
Huỳnh Văn Vinh,226A010019,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,61,100,9.8,100,Chuyên ngành,Không,Tự luận,Không,Không,11,Không,Có,Không
Nguyễn Minh Nam,226A010020,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 1,64,100,9.0,100,Đại cương,Có,Tự luận,Không,Không,0,Không,Có,Có
Lê Ngọc Phúc,226A010021,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,78,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Có,Có
Đỗ Thái Hưng,226A010022,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 1,66,100,8.3,100,Đại cương,Có,Tự luận,Không,Không,25,Có,Có,Có
Hoàng Văn Dũng,226A010023,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 1,0,11,8.5,20,Đại cương,Có,Tự luận,Không,Không,44,Không,Có,Có
Bùi Hữu Vinh,226A010024,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 1,33,75,5.3,55,Đại cương,Không,Trắc nghiệm,Không,Không,8,Có,Không,Có
Đỗ Hữu Phúc,226A010025,Ngoại ngữ,Ngôn ngữ Anh,226A003,Triết học Mác - Lênin - Nhóm 1,6,83,5.5,60,Đại cương,Không,Tự luận,Có,Có,83,Có,Có,Có
Nguyễn Quang Dũng,226A010026,Ngoại ngữ,Ngôn ngữ Anh,226A003,Pháp luật đại cương - Nhóm 1,17,0,7.8,60,Đại cương,Không,Tự luận,Có,Không,58,Có,Không,Có
Hoàng Đức Bình,226A010027,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,86,66,7.3,100,Chuyên ngành,Không,Tự luận,Không,Không,11,Không,Không,Không
Đặng Anh Sơn,226A010028,Ngoại ngữ,Ngôn ngữ Anh,226A003,Triết học Mác - Lênin - Nhóm 1,67,100,5.8,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Không,Có
Nguyễn Đức Nam,226A010029,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,37,75,2.5,90,Chuyên ngành,Không,Tự luận,Có,Không,100,Không,Không,Có
Phạm Thành Long,226A010030,Công nghệ thông tin,Công nghệ phần mềm,226A001,Triết học Mác - Lênin - Nhóm 1,20,50,2.0,55,Đại cương,Có,Tự luận,Không,Không,16,Không,Có,Không
Trần Gia Hải,226A010031,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,69,100,8.8,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Không,Có,Không
Lê Đức Long,226A010032,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,17,77,3.8,25,Chuyên ngành,Không,Tự luận,Có,Có,88,Có,Không,Có
Lê Gia Quân,226A010033,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,66,100,8.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Lê Văn Bình,226A010034,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,65,100,8.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Không,Có,Có
Lê Thái Long,226A010035,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,3,16,6.8,60,Chuyên ngành,Có,Tự luận,Không,Không,33,Không,Không,Có
Bùi Quang Hải,226A010036,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 1,1,16,3.8,40,Đại cương,Không,Trắc nghiệm,Không,Không,25,Không,Có,Có
